assumption_id,assumption,low,base,high,unit,source,confidence,decision_impact,validation_method,status
A21,Employer/payer utilization adjustment (share of covered lives actively engaging),30,55,80,% (0-100),"PLACEHOLDER. General digital-health-benefit engagement/utilization rates commonly cited in employer-benefits industry commentary span roughly this range; not sourced to a specific Legion employer pilot.",unresolved,medium,Employer buyer interviews,placeholder_external
A22,Traditional pathway trust/churn baseline conversion rate (pre-sponsorship),55,70,85,% (0-100) booking-to-continuation,"PLACEHOLDER. No Legion funnel data. Placeholder baseline against which A10/A11 percentage-point declines are applied; order-of-magnitude only.",unresolved,medium,Legion data / product analytics,placeholder_unresolved
A23,Reference sponsor contract count (Model B cost-allocation denominator),1,3,10,contracts,"Illustrative reference count of simultaneously-active sponsor contracts, used ONLY to split A08 (sales+servicing cost per contract) across the exposed patient base in the fully-loaded-cost calculation. Not a market-sized estimate of achievable sponsor count (see Path-to-1B sponsor-count backsolve in model_readme.md for the actual scale question). Held at base case across all low/base/high scenarios (policy-lever/normalization constant, not a pessimism/optimism axis), analogous to A12/A14 treatment.",low,medium,Sponsor-side test,placeholder_unresolved
A24,Reference annual sponsor contract value (Model B illustrative denominator),100000,250000,750000,USD/contract/yr,"Illustrative single-sponsor contract size used only for the Path-to-1B required-sponsor-count/concentration backsolve and as a cross-check denominator against A05's external-anchor ARPU. Order-of-magnitude anchored to comparable_notes.md pharma-agency-retainer/CSO contract-size discussion ($5K-$50M cited across sources, narrowed here to a single-sponsor range); not a Legion-specific contract. Held at base case across all low/base/high scenarios (policy-lever/normalization constant), analogous to A12/A14 treatment.",low,medium,Sponsor-side test,estimated_external
A25,Core-book revenue exposure per patient (Legion existing fee-for-service revenue per active patient/yr; core-book contagion term),811,811,2025,USD/patient/yr,"Legion data: base/low = 5.3 visits x $153 = $811; high = 13.2 visits x $153 = $2,025 (matches mature-cohort LTV). Low=base is intentional — Legion provided no below-average figure.",medium,high,Legion data,legion_data
A26,Core-book trust-spillover rate (share of core-book revenue at risk from sponsorship-driven trust damage bleeding into Legion's existing FFS patient relationship),0.1,0.5,2.5,% (0-100) of core-book revenue,"PLACEHOLDER — structurally new assumption added in v2 (2026-07-07) in v2 (2026-07-07). No patient concept test has examined whether sponsorship-driven trust damage spills beyond the sponsored tier into a patient's separate, existing paying relationship with Legion's core FFS service line. Base case set deliberately small (0.5%) so the resulting core-book contagion cost stays visibly provisional in the model grid rather than reading as a considered central estimate; low/high span roughly an order of magnitude around that base to show the term is far from resolved, not to imply precision.",unresolved,high,Patient concept test,placeholder_unresolved
A27,Reference single-grantor annual grant size (Model E scale-backsolve denominator),100000,750000,3000000,USD/grantor/yr,"Illustrative single-foundation/grantor annual grant size used only for the Path-to-1B required-grantor-count/concentration backsolve, added in v2 (2026-07-07) in v2 (2026-07-07) ('apply the same backsolve rigor to Model E ... that was applied to Model B'). Not a market-sizing estimate of achievable grantor count. Held at base case across all low/base/high scenarios (policy-lever/normalization constant), analogous to A23/A24 treatment. Value range matches A16 (Foundation/grant annual funding pool) since both describe a single foundation's typical annual grant size; kept as a separate assumption id from A16 for backsolve auditability — A16 drives the Model E ARPU-grid grant-pool figure directly (and varies by scenario), while A27 is reserved for the scale-backsolve denominator (held fixed at base, mirroring A24's role for Model B).",low,medium,Foundation partner interviews,placeholder_unresolved
A28,Customer acquisition cost (CAC),250,250,250,USD/acquired patient,"Legion data (data/ceo_data_integration.md): CAC ~$250. Single point estimate — low=base=high. Used in funnel-lens comparison only (A02b vs A28), not in pathway economics grid.",medium,medium,Legion data,legion_data
A29,Mature-cohort booked-revenue LTV/CAC multiple,8.1,8.1,8.1,x (LTV/CAC ratio),"Legion data: mature-cohort booked-revenue LTV/CAC ~8.1x. Implies booked LTV ~ $2,025 (= 8.1 x $250 CAC). Context/cross-check only.",medium,low,Legion data,legion_data
A30,Mature-cohort gross-margin LTV/CAC multiple,4.2,4.2,4.2,x (LTV/CAC ratio),"Legion data: mature-cohort gross-margin LTV/CAC ~4.2x. Implies GM LTV ~ $1,050. Context/cross-check only.",medium,low,Legion data,legion_data
