source_id,title,publisher,published_date,accessed_date,url,claim_supported,evidence_type,confidence,supporting_excerpt,limitations,notes
L11,"Lotus AI (Lotus Health AI, Inc.) (LinkedIn company profile via Exa)",LinkedIn / Exa aggregation,2026-05-21,2026-07-07,https://linkedin.com/company/lotus,"Employee headcount estimate (70 employees); department/seniority breakdown; executive list",estimate,low,"Lotus AI employs 70 people (+7.4% YoY, +64 people)... Employees: 70... By Department: General Management: 14 (74%)... Sales: 3 (16%)","Third-party aggregator; executive list includes clearly unrelated/mismatched names (e.g., a French 'Directeur', a Brazilian 'Sócia Propietaria'), suggesting data quality/entity-matching problems; conflicts with L10","Sales department shown as only 3 of 70 in this snapshot, consistent with hiring-pattern finding in Section 5"
L12,"Lotus Just Raised $41M",FirstWord HealthTech,2026-02-04,2026-07-07,https://firstwordhealthtech.com/story/7091555,"Premium sponsorships as revenue model, repeated across outlets",company_claim,medium,"Lotus is designed to break that cycle by earning revenue through premium sponsorships inside the app, rather than billing patients when they get sick.","Appears to closely track the same press release as L02/L03/L09","Corroborates consistency of company talking point across trade press"
L13,"Lotus Health AI Raises $41 Million to Build AI-Powered Model for Primary Care",PYMNTS,2026-02-04,2026-07-07,https://www.pymnts.com/news/artificial-intelligence/2026/lotus-health-ai-raises-41-million-to-build-ai-powered-model-for-primary-care/,"Premium sponsorships as revenue model; funding use for infrastructure/clinical team/runway",company_claim,medium,"Lotus Health AI earns revenue not by billing patients but by offering premium sponsorships inside its app, according to the release. Patients need no insurance, per the release.","Explicitly attributes claims to 'the release' (press release), i.e. company-sourced, not independently verified",N/A
L14,"Lotus Health AI Raises $35M to Make Doctor Visits Free (duplicate ref check)",HIT Consultant,2026-02-05,2026-07-07,https://hitconsultant.net/2026/02/05/lotus-health-ai-raises-35m-free-primary-care/,"Cross-reference for premium sponsorships phrase consistency across outlets",company_claim,medium,"Instead, it earns revenue through 'premium sponsorships' inside the app.","Same article as L02; listed separately to support cross-outlet phrase-consistency claim in Section 2","N/A"
L15,"Lotus Health AI raises $41M to deliver free AI-powered primary care direct to consumers",TBPN Digest,2026-02-04,2026-07-07,https://www.tbpndigest.com/story/2026-02-04/lotus-health-ai-raises-41m-to-deliver-free-ai-powered-primary-care-direct-to-consumers,"Alternative monetization claim: ad-supported free tier plus employer partnerships at $50/employee/month",estimate,low,"The revenue model starts with a free tier that includes optional ads and premium subscriptions that remove ads. The bigger opportunity, Dhaliwal says, is employer partnerships. Large self-insured companies are already asking to pay $50 per employee per month...","This is the outlet's paraphrase/summary of an interview, not a verified direct quote; not corroborated by any other source; inconsistent with 'premium sponsorships' framing used elsewhere","Single-source claim; treat as unverified until corroborated"
L16,"Privacy Policy | Lotus Health AI",Lotus Health AI (company site),2026-02-02,2026-07-07,https://lotus.ai/privacy-policy,"Advertising/marketing data use, ad-network business partners, interest-based advertising, DAA opt-out, sponsor-adjacent external-links clause",verified_fact,high,"such as when we share information to comply with law... Business partners that may use Personal Data for their own purposes, such as: Advertisers, ad platforms and networks, and social media platforms... Partners who work with us on promotional opportunities, including co-branded products and services","Primary document directly fetched; effective date Jan 1 2025, last updated Feb 2 2026 per page metadata","Only explicit use of the word 'sponsor' found is in the External Links clause referencing 'third party advertisements or sponsor information'"
L17,"Notice of Privacy Practices | Lotus Health AI",Lotus Health AI (company site),2026-01-01,2026-07-07,https://lotus.ai/notice-of-privacy-practices,"Separate HIPAA PHI notice; no advertising/marketing language present in retrieved excerpt; distinct corporate entities named",verified_fact,high,"This Notice of Privacy Practices... applies to the medical records and other protected health information that we maintain about you... Lotus Health Medical Inc. and Lotus Health Medical, P.C.","Only partial document retrieved (truncated); cannot confirm absence of any advertising clause in full document text","Names different corporate entities (Lotus Health Medical Inc./P.C.) than the general Privacy Policy (Lotus Health AI, Inc.) - structural separation not explained in source"
L18,"Lotus Health AI - Ratings & Reviews - App Store (regional/reviews page)",Apple App Store,2025-05-15,2026-07-07,https://apps.apple.com/us/app/lotus-health-ai/id6736791154?see-all=reviews,"Rating trend snapshot and review text themes",verified_fact,medium,"4.4 out of 5, 180 Ratings","Point-in-time snapshot; App Store rating counts vary by locale and caching","Review text used for Section 4 sentiment theme analysis"
L19,"Lotus Health AI - Medical App",MWM (app intelligence aggregator),2025-05-14,2026-07-07,https://mwm.ai/apps/lotus-health-ai/6736791154,"Third-party download estimate (~25k+) and rating (4.3/5)",estimate,low,"Lotus Health AI by Lotus Health AI Inc.. Medical app, 4.3/5, 25k+ downloads.","Aggregator methodology undisclosed; download estimate not corroborated by any other source","Explicitly labeled as third-party estimate in lotus_notes.md; not to be treated as verified download count"
L20,"Lotus Health for iOS",AppRecs (app intelligence aggregator),2026-07-07,2026-07-07,https://apprecs.com/ios/6736791154/lotus-health,"Third-party rating aggregation showing 4.5/4.9 and 46 ratings at time of crawl",estimate,low,"4.9 star / 46 ratings... AppRecs Rating 4.5","Aggregator snapshot, unclear crawl date vs. publish date; internally shows two different rating figures (4.9 vs 4.5)","Used only as one data point in App Store rating-history table"
L21,"Lotus Health AI App Store listing (zh-Hans-CN locale)",Apple App Store,2026-03-17,2026-07-07,https://apps.apple.com/us/app/lotus-health-ai/id6736791154?l=zh-Hans-CN&platform=ipad,"Rating snapshot: 4.4/117 ratings, dated March 2026",verified_fact,medium,"4.4 满分5分 117 个评分","Locale-specific page; used only to triangulate rating-count growth trend over time","N/A"
L22,"Download Lotus Health AI App [Updated Apr 26]",WorldsApps (app intelligence aggregator),2026-04-26,2026-07-07,https://worldsapps.com/download-lotus-health-ai,"Version history and rating snapshot: 4.31/124 reviews as of v1.34 (Apr 14 2026)",estimate,low,"The last update, v1.34, released on April 14, 2026, and it's rated 4.31 out of 5 based on the latest 124 reviews.","Third-party aggregator; app version/update cadence not independently verified","Also reproduces several App Store review excerpts consistent with L08/L18 themes"
L23,"Lotus Health App Store listing (es-MX locale, additional reviews)",Apple App Store,2025-05-14,2026-07-07,https://apps.apple.com/us/app/lotus-health/id6736791154?l=es-MX,"Additional review text for sentiment theme analysis; 4.9/39 ratings snapshot",verified_fact,medium,"4.9 de 5, 39 calificaciones... Lotus made it really simple to understand my bloodwork, and other test results not always fully explained by my medical teams.","Earliest rating snapshot found (39 ratings); used as baseline for growth-trend table","N/A"
L24,"Lotus Health Ai Jobs, Employment",Indeed (job aggregator),2026-07-07,2026-07-07,https://www.indeed.com/q-lotus-health-ai-jobs.html,"Evidence of 'Director of Sales' posting title; Research Engineer full job description; Content Director posting",company_claim,medium,"Director of Sales... Lotus Health AI... San Francisco, CA","Only posting title/location captured for Director of Sales; full job description text not retrieved in this research pass","Flagged in lotus_notes.md as an open item requiring follow-up via company's own careers/Ashby page"
L25,"Growth Director - Lotus Health AI","BeBee (job aggregator, via TheirStack)",2026-07-07,2026-07-07,https://bebee.com/us/jobs/growth-director-lotus-health-ai-san-francisco-ca--theirstack-685122954,"Growth-oriented, generalist early-stage hiring; no mention of sponsorship/advertising in scope",company_claim,medium,"You'll work across growth, ops, and whatever the company needs... This is a ground-floor role at a company that's early and moving fast.","Aggregator-hosted repost of original listing; original posting page not directly verified","Supports Section 5 finding that growth hiring emphasizes acquisition, not monetization/sponsorship sales"
L26,"Head of AI-Driven SEO & Growth Engine Job in San Francisco",Mediabistro (job aggregator),2026-07-07,2026-07-07,https://www.mediabistro.com/jobs/3539613914-head-of-ai-driven-seo-growth-engine,"Organic-growth/SEO-automation hire; corroborates growth-over-monetization hiring emphasis",company_claim,medium,"You'll design intelligent workflows that research topics, generate and optimize content, and measure performance - all at machine speed... help millions find care - instantly, intelligently, and free.","Aggregator repost; posting age listed as '23 days ago' relative to unknown crawl date","N/A"
L27,"Careers | Lotus Health AI (Core Team page)",Lotus Health AI (company site),2026-07-07,2026-07-07,https://lotus.ai/careers,"Named core team and physician list; confirms Chief Growth Officer role and background",company_claim,high,"Aidan Cole, Founding Chief Growth Officer (ex-Underlining, ex-Dil Mil)... KJ Dhaliwal, Founder & CEO... Zekka Nelson, Founder & CTO","Primary company source; team list may not be exhaustive or current at all times","No Head of Partnerships/Sponsorship or VP Business Development role listed among named core team"
L28,"Research Engineer - job post",Lotus Health AI (via Indeed),2026-07-07,2026-07-07,https://www.indeed.com/q-lotus-health-ai-jobs.html,"Full job description for Founding Research Engineer role; confirms clinical-AI engineering hiring emphasis",company_claim,medium,"We are hiring a Founding Research Engineer to design, prototype, and ship the core reasoning and agentic systems that power Lotus.","Retrieved via aggregator search snippet, not company's own ATS page directly","Corroborates technical/engineering hiring emphasis over commercial hiring"
L29,"Member of Technical Staff at Lotus Health Ai",JobSearcher (job aggregator),2026-05-03,2026-07-07,https://jobsearcher.com/jobs/35a11e9c0c9c993835dcc4f3a9aeb9116483479075dfe84333f0daab2208fe86,"Detailed engineering role scope; confirms Kleiner Perkins/CRV backing claim in job-posting context",company_claim,medium,"Lotus is backed by Kleiner Perkins, CRV, clinicians at Harvard and Stanford among others.","Aggregator repost of company listing","Used to corroborate technical hiring emphasis (Section 5)"
L30,"Founding Software/AI Engineer - Conversational AI at Lotus Health",MIT Orbit (university job board),2026-07-07,2026-07-07,https://orbit.mit.edu/jobs/680bf77d5ebb448b5eb804f3,"Conversational AI/voice engineering hire; further evidence of engineering-heavy hiring pattern",company_claim,medium,"We're building an AI-first platform to transform clinical trial using AI agents and smart conversational tools.","University job board repost; description language slightly differs from other Lotus postings (mentions 'clinical trial' rather than primary care), possible posting-template inconsistency or a different initiative","Flagged discrepancy: this posting's description differs notably from other Lotus Health postings and should be treated cautiously"
C01,"OpenEvidence revenue, valuation & funding",Sacra,2025-07-12,2026-07-07,https://sacra.com/c/openevidence/,"OpenEvidence CPM range ($70-$1,000+), ARPU (~$124), 2025 revenue ($150M), gross margin (90%), Doximity ARPU comparison (~$228), UpToDate per-seat price (~$500)",Third-party estimate,Medium,"OpenEvidence hit $150 million in annualized revenue in 2025...with CPMs that can range from $70 to $1,000+...translating to approximately $124 in average revenue per user (ARPU)","Analyst estimate, not company-disclosed financials; methodology not fully public","Also source for OpenEvidence funding history and Veeva/Open Vista partnership"
C02,"OpenEvidence 'ChatGPT for doctors' doubles valuation to $12 billion",CNBC,2026-01-21,2026-07-07,https://www.cnbc.com/2026/01/21/openevidence-chatgpt-for-doctors-doubles-valuation-to-12-billion.html,"$12B valuation Jan 2026 Series D; company topped $100M annualized revenue; 40% of US physicians use it; ad-supported model confirmed by CEO",Verified,High,"OpenEvidence said it topped $100 million in annualized revenue last year...Nadler claimed OpenEvidence is the most widely used AI platform by doctors in the U.S., with more than 40% of physicians utilizing the tool","CEO-stated figures, not independently audited","Direct CEO interview confirming ad-reliance model"
C03,"Report: OpenEvidence Business Breakdown & Founding Story",Contrary Research,2025-10-02,2026-07-07,https://research.contrary.com/company/openevidence,"OpenEvidence ad/content separation policy; pharma marketing TAM ($20-30B); CME credit monetization; regulatory/HIPAA constraints on monetization",Third-party estimate,Medium,"the OpenEvidence information system and the ad display system are fully unconnected systems...advertisements shall not be considered an endorsement","Independent research firm analysis, not primary source disclosure",""
C04,"OpenEvidence: Smart Medicine or Smart Marketing?",Krafty Librarian,2025-11-06,2026-07-07,https://kraftylibrarian.com/openevidence-smart-medicine-or-smart-marketing/,"Critique of ad-funded clinical AI bias risk",Opinion/commentary,Low,"[garbled binary content in fetch, title/framing used only]","Content fetch was corrupted/binary; used for framing only, not for factual claims","Low confidence - technical fetch issue"
C05,"OpenEvidence Targets Users",The Geyser,2026-03-02,2026-07-07,https://www.the-geyser.com/openevidence-targets-ads/,"Critique of targeted-advertising business model and NPI-based targeting concerns",Opinion/commentary,Low,"OE's business model provides another big red flag because it is susceptible to Silicon Valley's deepest source of corruption and bad incentives — targeted advertising","Opinion piece with critical editorial stance; not independently verified",""
C06,"OpenEvidence hits $12B valuation, with new round led by Thrive, DST",TechCrunch,2026-01-21,2026-07-07,https://techcrunch.com/2026/01/21/openevidence-hits-12b-valuation-with-new-round-led-by-thrive-dst/,"18 million clinical consultations/month Dec 2025; $250M Series D; total raised $700M; surpassed $100M revenue",Verified,High,"The company says that the free, ad-supported platform served 18 million clinical consultations from verified healthcare professionals in the U.S. in December alone","Company-reported usage metrics",""
C07,"OpenEvidence clinches $250M, doubles valuation to $12B",Fierce Healthcare,2026-01-21,2026-07-07,https://www.fiercehealthcare.com/ai-and-machine-learning/openevidence-clinches-250m-series-d-rapidly-growing-its-reach-doctors,"$250M Series D, $12B valuation, ad-supported and free to doctors, topped $100M annual revenue",Verified,High,"OpenEvidence, which is free to doctors and ad-supported, topped $100 million in annual revenue last year, according to executives","Executive-stated figures",""
C08,"OpenEvidence: An AI-Powered 'Brain Extender' For Doctors, Doubles Valuation To $12B",Crunchbase News,2026-01-21,2026-07-07,https://news.crunchbase.com/venture/openevidence-ai-doctors-doubles-valuation-seriesd/,"Funding round history and total capital raised ($700M since 2021 inception)",Verified,High,"OpenEvidence has raised nearly $700 million in funding since its 2021 inception and was valued at $6 billion at the time of its Series C in October","Standard funding-round reporting",""
C09,"OpenEvidence Announces $210 Million Round at $3.5 Billion Valuation",OpenEvidence (company announcement),2025-07-15,2026-07-07,https://www.openevidence.com/announcements/openevidence-the-fastest-growing-application-for-physicians-in-history-announces-dollar210-million-round-at-dollar35-billion-valuation,"July 2025 Series B details, GV/Kleiner Perkins co-lead, DeepConsult launch",Verified,High,"OpenEvidence, the most widely used medical search and AI application among verified U.S. clinicians, today announced a $210 million Series B round at a $3.5 Billion valuation","Company press release - self-reported","Primary source company announcement"
C10,"How Does OpenEvidence Make Money? (Business Model Explained)",Research Doc,2026-02-25,2026-07-07,https://researchdoc.org/how-does-openevidence-make-money-business-model-explained,"CPM $70-$1,000+; ARPU ~$124; pharma/HCP marketing spend context; accuracy critique (41% on subspecialty cases)",Third-party estimate,Medium,"OpenEvidence charges pharma companies CPMs of $70 to $1,000+ for access to its audience of over 40% of U.S. physicians, generating $150 million in annualized revenue in 2025 with 90% gross margins","Secondary aggregation of other estimates, not primary research",""
C11,"OpenEvidence CEO says AI enterprise model in the works",Fierce Healthcare,2026-05-21,2026-07-07,https://www.fiercehealthcare.com/ai-and-machine-learning/openevidence-launches-hands-free-voice-ai-feature-expands-hospital,"860,000 clinicians / 650,000 physicians using OpenEvidence; enterprise EHR-integrated non-ad model in development; Mount Sinai/Sutter/Cedars-Sinai partnerships",Verified,High,"There are now 860,000 medical licensed-verified U.S. clinicians...including more than 650,000 licensed-verified U.S. physicians...We are pioneering a non-ad-supported, standard AI enterprise model, similar to Anthropic's business model","Company-reported scale metrics; CEO quote on strategy",""
C12,"Doximity Announces Fourth Quarter and Fiscal Year 2025 Financial Results",Doximity Inc. (BusinessWire/Investor Relations),2025-05-15,2026-07-07,https://investors.doximity.com/news/news-details/2025/Doximity-Announces-Fourth-Quarter-and-Fiscal-Year-2025-Financial-Results/default.aspx,"Doximity FY2025 revenue $570.4M (+20% YoY); subscription-based Marketing Solutions sold brand-by-brand to pharma",Verified,High,"Fiscal year 2025 total revenues of $570.4 million, up 20% year-over-year","Audited public-company financial results (NYSE:DOCS)","Also corroborated by 10-K annual report"
C13,"What pharma advertisers actually pay premium CPMs for",Doceree (vendor blog),2026-05-18,2026-07-07,https://blog.doceree.com/what-pharma-advertisers-actually-pay-premium-cpms-for-and-why-most-publishers-cant-prove-they-have-it,"NPI-based identity verification as the mechanism enabling premium physician CPMs; healthcare ~12% of US digital ad revenue",Opinion/commentary,Low,"Pharma advertising is built around the National Provider Identifier (NPI) — a 10-digit number assigned to every licensed clinician in the US","Vendor content (Doceree sells HCP ad infrastructure) - inherent promotional bias",""
C14,"Facebook Ads CPM Benchmarks for Healthcare (2025)",Superads,2026-06,2026-07-07,https://www.superads.ai/facebook-ads-costs/cpm-cost-per-mille/healthcare,"Healthcare-vertical Facebook CPM $27-44, averaging ~$32, ~56% above ~$21 all-industry baseline (Jun 2025-Jun 2026)",Third-party estimate,Medium,"Healthcare CPMs started at $28.85 in June 2025 and finished at $32.98 in June 2026...Healthcare was about +56% higher than the baseline CPM","Aggregated ad-platform data from one analytics vendor ($3B spend dataset); not independently verifiable",""
C15,"US Healthcare and Pharma Ad Spending 2025",eMarketer,2025-10-31,2026-07-07,https://www.emarketer.com/content/us-healthcare-pharma-ad-spending-2025,"US healthcare/pharma digital ad spend $24.77B in 2025, +13.3% YoY",Third-party estimate,Medium,"Healthcare and pharma digital ad spending will increase to $24.77 billion this year, up 13.3% YoY","Forecast/estimate from market research firm, not primary transaction data",""
C16,"Marketing In The Pharmaceutical Industry Statistics 2026",Gitnux,2026-02-13,2026-07-07,https://gitnux.org/marketing-in-the-pharmaceutical-industry-statistics/,"Global pharma marketing budget $38.5B (2023), 45% to HCP promotion; US pharma marketing spend $30.9B (2022)",Third-party estimate,Low,"In 2023, the global pharmaceutical marketing budget reached $38.5 billion, with 45% allocated to promotional activities targeting healthcare professionals","Statistics aggregation site; original underlying sources not independently traced",""
C17,"WebMD Health Corp EX-99.1 (Q2 2016 earnings release)",WebMD Health Corp. (SEC filing),2016,2026-07-07,https://www.sec.gov/Archives/edgar/data/1326583/000119312516675109/d234114dex991.htm,"WebMD advertising/sponsorship revenue $131.7M-$171M/quarter; ~180-199M monthly unique users; 2016 guidance $559-598M ad/sponsorship revenue",Verified,High,"Advertising and sponsorship revenue was $131.7 million compared to $116.2 million in the prior year period...Traffic to the WebMD Health Network during the second quarter of 2016 reached an average of 199.0 million unique users per month","Audited SEC filing (pre-2017 take-private)",""
C18,"WebMD Reports Fourth Quarter and Full Year 2016 Financial Results",WebMD Health Corp. (Shareholder.com/SEC),2017-02-16,2026-07-07,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/corporate/press-releases/2017/WBMD_News_2017_2_16_General_Releases_2.pdf,"WebMD FY2016 total revenue $705.0M; advertising/sponsorship revenue $561.3M (80% of total); biopharma/medical device $437.0M",Verified,High,"Revenue was $705.0 million compared to $636.4 million in the prior year, an increase of 11%. Advertising and sponsorship revenue was $561.3 million","Audited public-company financial results, last full year before Internet Brands take-private",""
C19,"WebMD Teardown Analysis | Internet Brands Strategy & UX",NextSprints,2025 (est.),2026-07-07,https://nextsprints.com/guide/internet-brands-webmd-product-teardown-analysis,"WebMD 2025 estimated 80M+ MAU, ~$780M annual revenue, 38% market share (post-acquisition, privately held)",Third-party estimate,Low,"With over 80 million monthly active users and an estimated annual revenue of $780 million in 2025, WebMD maintains a dominant 38% market share","WebMD is privately held since 2017; no audited figures available to verify this estimate",""
C20,"How A Focus On Quality And Discipline Revived Healthline Media",AdExchanger,2019-04-17,2026-07-07,https://www.adexchanger.com/the-sell-sider/how-a-focus-on-quality-and-discipline-revived-healthline-media/,"Healthline >$100M revenue (2018), 60%+ YoY audience growth, 150 direct advertisers, 32% prioritize audience quality/cost-per-qualified-user KPI",Verified,Medium,"The profitable company racked up more than $100 million in revenue last year...For about 32% of our advertisers, their first or second metric is audience quality, or cost per qualified user","Executive interview (Healthline exec quoted), not audited financials since Healthline/Internet Brands is private",""
C21,"Healthline Surges to the #1 Health Media Property in the U.S.",Healthline Media (company press release),2019-07-22,2026-07-07,https://healthlinemedia.com/news/healthline-surges-to-the-1-health-media-property-in-the-u-s-passing-webmd-for-the-first-time,"Healthline surpassed WebMD in unique visitors 2019",Company claim,Medium,"Healthline has surpassed WebMD Health by more than 5 million unique visitors","Self-reported company press release",""
C22,"FTC Enforcement Action to Bar GoodRx from Sharing Consumers' Sensitive Health Info for Advertising",Federal Trade Commission,2023-01-31,2026-07-07,https://www.ftc.gov/news-events/news/press-releases/2023/02/ftc-enforcement-action-bar-goodrx-sharing-consumers-sensitive-health-info-advertising,"GoodRx $1.5M penalty; shared health data w/ Facebook/Google/Criteo for ad targeting since 2017; 55M+ consumers affected since 2017",Verified,High,"GoodRx will pay a $1.5 million civil penalty for failing to report its unauthorized disclosure of consumer health data to Facebook, Google, and other companies","Official FTC regulatory press release - primary source",""
C23,"GoodRx Stipulated Order for Permanent Injunction, Civil Penalty Judgment, and Other Relief",Federal Trade Commission (court filing),2023,2026-07-07,https://search.ftc.gov/system/files/ftc_gov/pdf/goodrx_stipulated_order_for_permanent_injunction_civil_penalty_judgment_and_other_relief.pdf,"Legal text of GoodRx order: permanent ban on disclosing Health Information to third parties for advertising purposes; contextual/non-personalized advertising exception preserved; 20-year recordkeeping",Verified,High,"Defendant...are permanently restrained and enjoined from disclosing Health Information to Third Parties for Advertising Purposes...contextual advertising, meaning non-personalized advertising shown as part of a consumer's current interaction...provided that the consumer's Covered Information is not disclosed to another Third Party","Primary legal document - the actual court order",""
C24,"FTC slaps $1.5M fine on GoodRx for sharing users' health data with Facebook and Google",TechCrunch,2023-02-01,2026-07-07,https://techcrunch.com/2023/02/01/ftc-slaps-online-pharmacy-goodrx-for-sharing-users-health-data-with-facebook-and-google/,"Detail on GoodRx targeting mechanics: uploaded emails/phone numbers of heart-disease/blood-pressure medication purchasers to Facebook for ad targeting",Verified,High,"GoodRx compiled lists of its users who bought certain medications — heart disease and blood pressure, specifically — and uploaded their email addresses, phone numbers and pseudonymized device advertising IDs to Facebook","Contemporaneous journalism citing FTC complaint directly",""
C25,"GoodRx Reports Fourth Quarter and Full Year 2024 Results",GoodRx Holdings Inc. (BusinessWire/Investor Relations),2025-02-27,2026-07-07,https://investors.goodrx.com/news-releases/news-release-details/goodrx-reports-fourth-quarter-and-full-year-2024-results,"GoodRx FY2024 revenue $792.3M; prescription transactions $577.5M; subscription $86.5M; pharma manufacturer solutions $107.2M (+26% YoY); 7M+ monthly active consumers",Verified,High,"Pharma manufacturer solutions revenue increased 26% to $107.2 million compared to $85.1 million...We exited the fourth quarter of 2024 with over 7 million prescription-related consumers","Audited public-company financial results (Nasdaq:GDRX)",""
C26,"Form 10-K for GoodRx Holdings Inc, filed 2026-02-26",GoodRx Holdings Inc. (SEC 10-K),2026-02-26,2026-07-07,https://investors.goodrx.com/static-files/bad42c0b-8a43-4bd8-843f-945ae3d380be,"GoodRx business model description: fee earned per GoodRx code use including repeat refills without re-presenting code; revenue mix trends",Verified,High,"We earn revenue upon the initial usage of the GoodRx code when the consumer realizes savings...we continue to earn revenue when the consumer returns to the pharmacy for refills and new prescriptions","Audited SEC 10-K filing",""
