name,role,organization,relevant_experience,why_relevant,public_profile_url,suggested_interview_topic,priority,contact_status
Mike Chi,"Chief Operating Officer (former Chief Commercial/Marketing/Growth Officer)",Hims & Hers,"Held COO, CCO, CMO and Chief Growth Officer roles at a $2.3B-revenue consumer telehealth company built on direct-to-consumer marketing economics","Senior commercial leader at the largest DTC telehealth company; relevant for consumer acquisition cost benchmarks and brand-partnership economics in consumer health","https://linkedin.com/in/mike-chi","Customer acquisition and brand-partnership economics in consumer telehealth, and where sponsorship revenue could realistically offset care costs",P1,
Sahir Jaggi,"CEO & Founder",Forus (formerly Tandem),"Built a free-to-provider, pharma-data-monetized prescription access network; raised $160M Series B at ~$1B valuation from Thrive Capital, General Catalyst, Accel and others","Runs the most directly comparable venture-scale 'free for the end user, monetized via pharma/data partnerships' healthcare business operating today","https://linkedin.com/in/sahirj","How Forus prices pharma data/business-intelligence partnerships, what minimum network scale was needed to reach viability, and lessons on speed-to-revenue versus a free consumer product",P1,
Evan Armstrong,"Analyst / Writer",The Leverage (newsletter),"Wrote widely-read 2025 analysis of OpenEvidence's ad-supported model, citing $70-150 CPM ad pricing and ~$50M revenue run-rate for a free, advertiser-supported clinician tool","Independent analyst with unusually granular public data on ad-supported healthcare CPMs and the economics of free-vs-subscription models in health tech","https://www.gettheleverage.com/p/are-ads-all-you-need","Ad-supported CPM benchmarks in healthcare AI/media, and what conditions make ads outperform subscriptions as a monetization model",P1,
Jennifer Mazur,"SVP & General Manager, U.S. LillyDirect & Consumer Services",Eli Lilly and Company,"Built and runs Lilly's direct-to-consumer platform (LillyDirect), Lilly's flagship patient-facing commercial experience","Runs one of pharma's largest direct-to-patient commercial platforms; can speak to how a manufacturer thinks about funding patient-facing digital experiences","https://linkedin.com/in/jennifermazur","How a pharma manufacturer evaluates funding or co-branding a patient-facing digital care experience, and what governance/compliance review that requires internally",P2,
Julia Croxen,"VP, Strategy Consulting",Rock Health,"Leads digital health strategy consulting engagements for pharma and growth-stage startups; focus on business model design and go-to-market for digital health","External advisor who has likely modeled sponsorship/ad-supported business cases for multiple digital health clients and can speak candidly without a single company's bias","https://linkedin.com/in/julia-a-croxen","Patterns Rock Health sees across clients attempting sponsor-supported or ad-supported digital health business models, and common failure modes",P2,
Nathaniel Lacktman,"Chair, Telemedicine & Digital Health Industry Team; Chair, ATA Board",Foley & Lardner LLP,"Leading U.S. digital health regulatory lawyer; advises telehealth/digital health companies on business arrangements and compliance nationally","One of the most senior and frequently-cited digital health regulatory attorneys; can speak to the legal boundaries of pharma-sponsored patient care models and telehealth compliance","https://linkedin.com/in/lacktman","Legal boundaries for pharma-sponsored or ad-supported telehealth/psychiatry care, including anti-kickback and corporate practice of medicine concerns",P1,
Duane Pozza,"Partner, Co-Chair Privacy, Cyber & Data Governance",Wiley Rein LLP,"Former FTC Assistant Director, Division of Financial Practices; represents digital health clients in FTC Health Breach Notification Rule matters; wrote on 'What to Expect from New FTC Leadership on Digital Health'","Former FTC insider now advising on the exact enforcement regime (HBNR, Section 5) that caught GoodRx for sharing health data with advertisers -- directly relevant to privacy boundaries for any ad-supported care model","https://linkedin.com/in/duane-pozza-448a6933","FTC Health Breach Notification Rule exposure for ad-supported health platforms, lessons from the GoodRx enforcement action, and what consent/disclosure design avoids liability",P1,
Jennifer Hennessy,"Partner, Data Privacy & Cybersecurity",Foley & Lardner LLP,"CIPP/US, CIPP/E; built HIPAA compliance programs for telehealth providers; advises on data licensing and de-identification for health data monetization","Directly relevant experience structuring de-identified data licensing and HIPAA-compliant monetization for telehealth-adjacent companies","https://linkedin.com/in/jennifer-hennessy-9b43a450","How to structure HIPAA-compliant data sharing or de-identification for a sponsor-supported care model without triggering breach notification obligations",P2,
Lisa Reisz,"Partner, Health Information Privacy & Security",Epstein Becker & Green PC,"Focuses on HIPAA/HITECH compliance, complex data-sharing arrangements, and health information exchange; frequent conference speaker and media source (Axios)","Practicing HIPAA/data-sharing attorney who regularly advises on the exact data-sharing arrangements a sponsor-supported model would require","https://linkedin.com/in/lisareisz","What data-sharing and consent structures HIPAA permits for a sponsor/pharma-supported free-care model, and where the compliance lines sit",P2,
Patricia Wagner,"Chief Privacy Officer, Member of the Firm",Epstein Becker & Green PC,"PhD microbiologist turned health privacy/antitrust attorney; advises on privacy/security lapses, FTC and DOJ matters, and state licensure","Firm's chief privacy officer with FTC-facing experience; useful cross-check on antitrust and privacy risk of pharma-sponsor healthcare partnerships","https://linkedin.com/in/patriciamwagner","Antitrust and privacy risk considerations when a healthcare provider enters exclusive or preferred sponsorship arrangements with pharma manufacturers",P2,
Allen Killworth,"Partner, Co-Chair Privacy Cybersecurity & Data Access Management",Epstein Becker & Green PC,"Health care attorney focused on privacy, cybersecurity and data access management; frequent speaker at hospital association and HIPAA summit events","Additional practicing HIPAA/cybersecurity attorney perspective, useful for triangulating compliance guidance across firms","https://linkedin.com/in/allen-killworth-bb02741b","Practical data governance and cybersecurity requirements for a digital health platform sharing data with sponsor/advertising partners",P3,
Saar Gur,"General Partner",CRV,"Co-led Lotus Health AI's $35M Series A alongside Kleiner Perkins; sits on Lotus's board; 5x Forbes Midas List investor with 4 IPOs","Direct investor thesis-holder on the free, sponsorship-monetized AI primary care model that is the closest public comparable to Legion's proposed pathway","https://linkedin.com/in/saargur","Investment thesis for backing a free, sponsorship-monetized AI care model: what proof points de-risked the bet, and what he expects the eventual revenue model to look like",P1,
Aneesh Chopra,"Former U.S. Chief Technology Officer; Co-founder",CareJourney / Hunch Analytics,"First U.S. CTO (2009-2012); individual backer of Lotus Health AI's Series A; long career at the intersection of health data policy and venture investing","Public policy figure and investor who publicly backed the sponsorship-monetized free-care model; can speak to regulatory feasibility and policy risk from a former-official's vantage point","https://linkedin.com/in/apchopra","Regulatory and policy risks a sponsor-supported free-care startup should anticipate, and how his due diligence on Lotus Health AI addressed monetization uncertainty",P2,
Glen Tullman,"Chief Executive Officer",Transcarent,"Former CEO of Livongo (merged with Teladoc for $18.5B) and Allscripts; built Transcarent as an at-risk, employer-funded care platform with no per-employee-per-month fees","Built one of the only major at-scale healthcare models where a third party (the employer) fully funds care access for employees -- structurally analogous to sponsor-funded free care","https://linkedin.com/in/glen-tullman-76108566","How Transcarent structures at-risk, third-party-funded care deals with self-insured employers, including minimum group size and outcome-based payment terms",P2,
Cheryl Pegus,"EVP, Health & Wellness",Walmart,"Physician executive overseeing Walmart's enterprise health and wellness strategy, including the Transcarent partnership for self-insured employers","Senior health executive at the country's largest employer, with direct experience partnering with third parties to fund/subsidize employee health access at massive scale","https://linkedin.com/in/pegusc","How a large employer evaluates and structures third-party-subsidized health benefit partnerships, and what reporting/outcomes data they require from vendors",P2,
Morenike Ayo-Vaughan,"Program Officer, Advancing Health Equity",The Commonwealth Fund,"Manages 2026 funding priorities including digital technologies in safety-net systems and equitable access to care","Foundation program officer positioned to fund or evaluate access-oriented digital health models; useful for understanding nonprofit funder criteria and skepticism of ad-supported care","https://linkedin.com/in/morenikeayovaughan","What Commonwealth Fund looks for when evaluating digital health access interventions, and concerns foundations raise about commercially-sponsored free care",P3,
June Glover,"Senior Program Officer",Robert Wood Johnson Foundation,"Manages health policy research and program implementation focused on access to care for low-income and disparate populations","RWJF perspective on whether sponsor-funded free care models genuinely improve access versus introducing new equity or trust risks","https://www.linkedin.com/in/juneglover","Foundation perspective on health-equity risks and benefits of monetizing free care through commercial sponsorship rather than grant or public funding",P3,
